segment_id,importance,reason,backend,is_reliable,run1_rating,run2_rating,heuristic_score
0,5,heuristic_v4,heuristic,False,5,,0.4996
1,5,heuristic_v4,heuristic,False,5,,0.5174
2,4,heuristic_v4,heuristic,False,4,,0.4383
3,4,heuristic_v4,heuristic,False,4,,0.4336
4,4,heuristic_v4,heuristic,False,4,,0.4524
5,3,heuristic_v4,heuristic,False,3,,0.3813
6,2,heuristic_v4,heuristic,False,2,,0.3592
7,3,heuristic_v4,heuristic,False,3,,0.3755
8,2,heuristic_v4,heuristic,False,2,,0.3517
9,2,heuristic_v4,heuristic,False,2,,0.3515
10,1,heuristic_v4,heuristic,False,1,,0.2815
11,2,heuristic_v4,heuristic,False,2,,0.3146
12,4,heuristic_v4,heuristic,False,4,,0.432
13,3,heuristic_v4,heuristic,False,3,,0.3602
14,1,heuristic_v4,heuristic,False,1,,0.2784
15,3,heuristic_v4,heuristic,False,3,,0.4165
16,2,heuristic_v4,heuristic,False,2,,0.3332
17,1,heuristic_v4,heuristic,False,1,,0.1586
18,3,heuristic_v4,heuristic,False,3,,0.3957
19,1,heuristic_v4,heuristic,False,1,,0.3122
20,1,heuristic_v4,heuristic,False,1,,0.2501
21,3,heuristic_v4,heuristic,False,3,,0.396
22,5,heuristic_v4,heuristic,False,5,,0.4533
23,5,heuristic_v4,heuristic,False,5,,0.4605
24,4,heuristic_v4,heuristic,False,4,,0.4336
25,4,heuristic_v4,heuristic,False,4,,0.4399
26,3,heuristic_v4,heuristic,False,3,,0.3944
27,5,heuristic_v4,heuristic,False,5,,0.4777
28,1,heuristic_v4,heuristic,False,1,,0.2894
29,2,heuristic_v4,heuristic,False,2,,0.3146
30,1,heuristic_v4,heuristic,False,1,,0.22
31,1,heuristic_v4,heuristic,False,1,,0.2974
32,2,heuristic_v4,heuristic,False,2,,0.3199
33,4,heuristic_v4,heuristic,False,4,,0.4213
34,5,heuristic_v4,heuristic,False,5,,0.475
35,5,heuristic_v4,heuristic,False,5,,0.4711
