keyword_id,keyword_text,segment_id,t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,groundability,visual_on_screen,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
0,proposed meir explains,0,3.912,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
1,cognitive theory multimedia,0,1.388,1.0,-0.3879999999999999,A,ocr_at_tnarr_full,1.0,1.0,1.0,25.5,,HIGH,MEDIUM,True,100.0,100.0,100.0,Optimal,100.0,3,1.0,100.0,0.0
2,people learn better,0,6.356,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
3,information,0,8.198,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
4,multimedia learning proposed,0,2.55,1.0,-1.5499999999999998,A,ocr_at_tnarr_partial,0.8,1.0,1.0,25.5,,MEDIUM,MEDIUM,True,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
5,presented using words,0,8.94,25.5,16.560000000000002,D,ocr_at_tnarr_partial,0.8,1.0,1.0,25.5,25.5,MEDIUM,MEDIUM,True,2.965847807247327e-08,0.0,2.965847807247327e-08,Unacceptable,2.6692630265225945e-08,3,1.0,2.965847807247327e-08,79.99999997627322
6,pictures,0,11.043,25.5,14.457,D,ocr_at_tnarr_full,1.0,1.0,1.0,25.5,25.5,HIGH,MEDIUM,True,5.475550529344576e-06,0.0,5.475550529344576e-06,Unacceptable,5.475550529344576e-06,3,1.0,5.475550529344576e-06,99.99999452444948
7,dual channel,1,18.273,25.5,7.227,D,ocr_at_tnarr_full,1.0,1.0,1.0,25.5,25.5,HIGH,MEDIUM,True,1.5323582153067512,0.0,1.5323582153067512,Unacceptable,1.5323582153067512,3,1.0,1.5323582153067512,98.46764178469324
8,capacity active processing,1,20.016,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,MEDIUM,False,,,,No Match,,3,1.0,,0.0
9,theory based,1,14.428,1.0,-13.428,A,ocr_at_tnarr_partial,0.8,1.0,1.0,25.5,,MEDIUM,MEDIUM,True,100.0,100.0,100.0,Optimal,90.0,3,1.0,100.0,0.0
