segment_id,importance,reason,backend,is_reliable,run1_rating,run2_rating,heuristic_score
0,5,heuristic_v4,heuristic,False,5,,0.4488
1,5,heuristic_v4,heuristic,False,5,,0.4607
2,2,heuristic_v4,heuristic,False,2,,0.3632
3,4,heuristic_v4,heuristic,False,4,,0.4164
4,5,heuristic_v4,heuristic,False,5,,0.473
5,3,heuristic_v4,heuristic,False,3,,0.4
6,4,heuristic_v4,heuristic,False,4,,0.4128
7,3,heuristic_v4,heuristic,False,3,,0.3922
8,2,heuristic_v4,heuristic,False,2,,0.3573
9,5,heuristic_v4,heuristic,False,5,,0.5305
10,1,heuristic_v4,heuristic,False,1,,0.2709
11,1,heuristic_v4,heuristic,False,1,,0.3138
12,5,heuristic_v4,heuristic,False,5,,0.4315
13,1,heuristic_v4,heuristic,False,1,,0.3337
14,4,heuristic_v4,heuristic,False,4,,0.4166
15,1,heuristic_v4,heuristic,False,1,,0.3009
16,3,heuristic_v4,heuristic,False,3,,0.399
17,5,heuristic_v4,heuristic,False,5,,0.4671
18,3,heuristic_v4,heuristic,False,3,,0.3691
19,2,heuristic_v4,heuristic,False,2,,0.3594
20,2,heuristic_v4,heuristic,False,2,,0.3594
21,4,heuristic_v4,heuristic,False,4,,0.401
22,5,heuristic_v4,heuristic,False,5,,0.5097
23,4,heuristic_v4,heuristic,False,4,,0.4119
24,4,heuristic_v4,heuristic,False,4,,0.4123
25,3,heuristic_v4,heuristic,False,3,,0.3667
26,3,heuristic_v4,heuristic,False,3,,0.4009
27,1,heuristic_v4,heuristic,False,1,,0.3274
28,2,heuristic_v4,heuristic,False,2,,0.3515
29,3,heuristic_v4,heuristic,False,3,,0.3942
30,1,heuristic_v4,heuristic,False,1,,0.3415
31,1,heuristic_v4,heuristic,False,1,,0.3404
32,2,heuristic_v4,heuristic,False,2,,0.3613
33,4,heuristic_v4,heuristic,False,4,,0.428
34,2,heuristic_v4,heuristic,False,2,,0.3635
