segment_id,importance,reason,backend,is_reliable,run1_rating,run2_rating,heuristic_score
0,5,heuristic_v4,heuristic,False,5,,0.4725
1,2,heuristic_v4,heuristic,False,2,,0.3541
2,1,heuristic_v4,heuristic,False,1,,0.259
3,4,heuristic_v4,heuristic,False,4,,0.4135
4,1,heuristic_v4,heuristic,False,1,,0.2875
5,3,heuristic_v4,heuristic,False,3,,0.3696
6,3,heuristic_v4,heuristic,False,3,,0.3782
7,4,heuristic_v4,heuristic,False,4,,0.3912
8,2,heuristic_v4,heuristic,False,2,,0.2967
9,2,heuristic_v4,heuristic,False,2,,0.3047
10,1,heuristic_v4,heuristic,False,1,,0.2748
11,4,heuristic_v4,heuristic,False,4,,0.4259
12,5,heuristic_v4,heuristic,False,5,,0.4284
13,2,heuristic_v4,heuristic,False,2,,0.3496
14,3,heuristic_v4,heuristic,False,3,,0.3899
15,5,heuristic_v4,heuristic,False,5,,0.517
16,3,heuristic_v4,heuristic,False,3,,0.3863
17,4,heuristic_v4,heuristic,False,4,,0.4203
18,1,heuristic_v4,heuristic,False,1,,0.2886
19,2,heuristic_v4,heuristic,False,2,,0.3109
20,5,heuristic_v4,heuristic,False,5,,0.6499
21,5,heuristic_v4,heuristic,False,5,,0.4383
22,1,heuristic_v4,heuristic,False,1,,0.202
23,5,heuristic_v4,heuristic,False,5,,0.4602
24,1,heuristic_v4,heuristic,False,1,,0.279
25,3,heuristic_v4,heuristic,False,3,,0.3759
26,2,heuristic_v4,heuristic,False,2,,0.2986
27,4,heuristic_v4,heuristic,False,4,,0.4219
28,2,heuristic_v4,heuristic,False,2,,0.2982
29,1,heuristic_v4,heuristic,False,1,,0.2886
30,4,heuristic_v4,heuristic,False,4,,0.4248
31,4,heuristic_v4,heuristic,False,4,,0.4214
32,3,heuristic_v4,heuristic,False,3,,0.3687
33,5,heuristic_v4,heuristic,False,5,,0.4494
