segment_id,importance,reason,backend,is_reliable,run1_rating,run2_rating,heuristic_score
0,5,heuristic_v4,heuristic,False,5,,0.4696
1,5,heuristic_v4,heuristic,False,5,,0.4599
2,2,heuristic_v4,heuristic,False,2,,0.3633
3,4,heuristic_v4,heuristic,False,4,,0.4177
4,5,heuristic_v4,heuristic,False,5,,0.4716
5,3,heuristic_v4,heuristic,False,3,,0.4
6,4,heuristic_v4,heuristic,False,4,,0.412
7,3,heuristic_v4,heuristic,False,3,,0.3925
8,3,heuristic_v4,heuristic,False,3,,0.3752
9,5,heuristic_v4,heuristic,False,5,,0.5579
10,1,heuristic_v4,heuristic,False,1,,0.2815
11,1,heuristic_v4,heuristic,False,1,,0.3146
12,5,heuristic_v4,heuristic,False,5,,0.432
13,2,heuristic_v4,heuristic,False,2,,0.3602
14,1,heuristic_v4,heuristic,False,1,,0.2784
15,4,heuristic_v4,heuristic,False,4,,0.4165
16,1,heuristic_v4,heuristic,False,1,,0.3332
17,4,heuristic_v4,heuristic,False,4,,0.4155
18,5,heuristic_v4,heuristic,False,5,,0.467
19,2,heuristic_v4,heuristic,False,2,,0.3712
20,2,heuristic_v4,heuristic,False,2,,0.3572
21,3,heuristic_v4,heuristic,False,3,,0.3731
22,4,heuristic_v4,heuristic,False,4,,0.415
23,5,heuristic_v4,heuristic,False,5,,0.5105
24,3,heuristic_v4,heuristic,False,3,,0.4087
25,4,heuristic_v4,heuristic,False,4,,0.4238
26,2,heuristic_v4,heuristic,False,2,,0.3543
27,3,heuristic_v4,heuristic,False,3,,0.4027
28,1,heuristic_v4,heuristic,False,1,,0.3269
29,1,heuristic_v4,heuristic,False,1,,0.3521
30,3,heuristic_v4,heuristic,False,3,,0.3901
31,1,heuristic_v4,heuristic,False,1,,0.3419
32,1,heuristic_v4,heuristic,False,1,,0.3392
33,2,heuristic_v4,heuristic,False,2,,0.3613
34,4,heuristic_v4,heuristic,False,4,,0.428
35,2,heuristic_v4,heuristic,False,2,,0.3639
