t_narr,t_vis,delta_t,match_case,match_method,alpha,scene_id,scene_t_start,scene_t_end,sub_scene_onset,confidence,visual_on_screen,keyword_id,keyword_text,segment_id,groundability,S_gaussian,S_piecewise,S_temporal,zone,S_floored,importance,importance_weight,S_weighted,priority
2.444,1.5,-0.944,A,ocr_at_tnarr_partial,0.8,1.0,1.5,28.5,,MEDIUM,True,0,welcome instructional video,0,HIGH,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
4.8465,1.5,-3.3465,A,ocr_at_tnarr_partial,0.8,1.0,1.5,28.5,,MEDIUM,True,1,ai powered,0,MEDIUM,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
3.365,1.5,-1.865,A,ocr_at_tnarr_partial,0.8,1.0,1.5,28.5,,MEDIUM,True,2,instructional video ai,0,HIGH,100.0,100.0,100.0,Optimal,90.0,1,0.3,30.0,0.0
4.786,1.5,-3.286,A,ocr_at_tnarr_full,1.0,1.0,1.5,28.5,,HIGH,True,3,ai-powered video evaluation,0,HIGH,100.0,100.0,100.0,Optimal,100.0,1,0.3,30.0,0.0
9.571,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,4,demonstrate ai,1,MEDIUM,,,,No Match,,2,0.6,,0.0
14.756,1.5,-13.256,A,ocr_at_tnarr_partial,0.8,1.0,1.5,28.5,,MEDIUM,True,5,analyzes instructional video,1,HIGH,100.0,100.0,100.0,Optimal,90.0,2,0.6,60.0,0.0
13.105,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,6,ai driven efficiently,1,MEDIUM,,,,No Match,,2,0.6,,0.0
11.393,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,7,ai-driven system,1,MEDIUM,,,,No Match,,2,0.6,,0.0
15.897,1.5,-14.397,A,ocr_at_tnarr_partial,0.8,1.0,1.5,28.5,,MEDIUM,True,8,instructional video content,1,HIGH,100.0,100.0,100.0,Optimal,90.0,2,0.6,60.0,0.0
12.914,,,F,ocr_vocabulary_mismatch,0.0,,,,,NONE,False,9,efficiently evaluates,1,MEDIUM,,,,No Match,,2,0.6,,0.0
